BarcodeID,Date,YearMonth,Jul,LunarPhase,MinStartPostSunset,DailyTemp,MonthlyTemp,Latitude,Longitude,Site,Bank,GeoReach,TribDist,RivWidth,RivWidthGeoreach,ClosestRapid,RapidDist,TallVegByMSU,BatCollector,BatDuration,BugCollector,BugDuration,ANPA,COTO,EPFU,EUMA,EUPE,LABL,LABO,LACI,LAIN,LANO,LAXA,MYCA,MYCI,MYEV,MYGR,MYLU,MYTH,MYVO,MYSP,MYYU,NOID,NYFE,NYMA,PAHE,PESU,TABR,TotalCalls,AquaDipCR,AquaTriCR,AquaOtherCR,AquaticPreyRate,TerrMothCR,TerrOtherCR,TerrestrialPreyRate,TotalPreyRate
L09382,5/9/2017,2017-5,129,Full,36,18.33333333,23.96953405,35.8817,-113.3105,216,RB,Lower Granite Gorge,0.3,67,78.12676056,217-Mile Rapid,1.45,0.28,NJ,1,JordanN,1,0,0,4,0,0,2,0,1,0,8,0,3,0,0,0,0,0,0,0,20,83,0,0,12,0,55,188,695,24,0,719,448,399,847,1566
L09379,5/10/2017,2017-5,130,Full,35,18.33333333,23.96953405,35.8378,-113.6185,244,RB,Grand Canyon West,2.5,82,82.24489796,Gneiss Canyon Rapid,7.84,0.09,NJ,1.02,JordanN,1,0,0,0,0,2,1,0,0,0,2,0,4,0,0,0,0,0,0,0,26,77,0,0,117,0,1,230,132,9,3,144,326,32,358,502
L08413,5/12/2017,2017-5,132,Full,3,25,23.96953405,36.5945,-111.7719,24,LB,Redwall,22.6,40,74.31730769,23.5-Mile Rapid,0.02,0.25,SM,1,MorrisS,1,0,0,1,0,0,6,0,0,0,0,0,3,4,0,0,0,0,0,0,8,73,0,0,25,0,0,120,35.05,454.64,0,489.69,10.31,8.25,18.56,508.25
L08412,5/13/2017,2017-5,133,Full,31,25,23.96953405,36.3112,-111.8637,52,RB,Lower Marble,0.4,87,92.56410256,Nankoweap Rapid,0.41,3.55,SM,0.97,MorrisS,1,0,0,0,0,0,1,0,0,0,0,0,9,5,0,0,0,0,0,0,26,156,0,0,7,0,0,204,900,19.42,0,919.42,508.74,67.96,576.7,1496.12
L08409,5/16/2017,2017-5,136,Waning,17,20.83333333,23.96953405,36.3475,-112.4552,132,RB,Middle Granite Gorge,0.1,71,67.1037037,Deubendorff Rapid,0.24,0.44,SM,1.03,MorrisS,1.02,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,19,43,0,0,1,0,0,73,122.55,6.86,0,129.41,42.16,50.98,93.14,222.55
L09456,5/20/2017,2017-5,140,Waning,9,21.38888889,23.96953405,36.5153,-111.8475,31,RB,Redwall,21.7,82,74.31730769,29-Mile Rapid,1.42,0.31,SJ,0.95,JerniganS,1.02,0,0,2,0,0,3,0,2,0,26,0,2,0,0,0,0,0,0,0,6,104,0,0,65,0,9,219,458.1,58.1,0,516.19,0,50.48,50.48,566.67
L09457,5/22/2017,2017-5,142,New,-1,24.16666667,23.96953405,36.3125,-111.8646,52,RB,Lower Marble,0.5,145,92.56410256,Nankoweap Rapid,0.51,3.55,SJ,1.1,JerniganS,1,0,0,0,0,0,5,0,0,0,2,0,14,0,0,0,0,0,0,0,12,68,0,0,111,0,2,214,248,17,0,265,3,0,3,268
L09460,5/23/2017,2017-5,143,New,2,26.11111111,23.96953405,36.1078,-111.8265,68,RB,Furnace Flats,6.5,153,87.03937008,Tanner Rapid,0.67,2.08,SJ,0.88,JerniganS,1.03,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,5,69,0,0,78,0,4,170,27.83,0,0,27.83,0,0,0,27.83
L06771,5/25/2017,2017-5,145,New,3,28.33333333,23.96953405,36.693,-111.7211,15,LB,Supai,14.35,56,66.50574713,Sheer Wall Rapid,0.73,0.11,MP,1.5,PerkinsM,1,0,0,0,0,5,8,0,4,0,9,0,4,2,0,0,0,0,0,0,1,44,0,0,21,0,6,104,5.74,0,0,5.74,3.28,0,3.28,9.02
L09395,5/27/2017,2017-5,147,New,26,26.38888889,23.96953405,36.5313,-111.834,29,LB,Redwall,23.1,50,74.31730769,29-Mile Rapid,0.02,0.07,SM,0.9,MorrisS,1,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,22,40,0,0,6,0,0,81,797,124,0,921,19,110,129,1050
L09464,5/27/2017,2017-5,147,New,-1,26.38888889,23.96953405,36.3461,-112.4549,132,RB,Middle Granite Gorge,0,60,67.1037037,Deubendorff Rapid,0.14,0.44,SJ,0.8,JerniganS,1.05,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,21,88,0,0,24,0,1,169,56.36,0.91,0,57.27,0,0,0,57.27
L09396,5/28/2017,2017-5,148,New,35,26.94444444,23.96953405,36.299,-111.8575,53,RB,Lower Marble,0.7,101,92.56410256,Nankoweap Rapid,0.69,1.85,SM,0.77,MorrisS,0.83,0,0,0,0,0,1,0,0,0,0,0,46,3,0,0,0,0,0,0,43,78,0,0,21,0,1,193,305,16,0,321,11,240,251,572
L09397,5/30/2017,2017-5,150,Waxing,38,29.16666667,23.96953405,36.2293,-112.3384,108,LB,Upper Granite Gorge,0.9,60,58.93838863,Bass Rapid,0.09,0.29,SM,0.98,MorrisS,0.98,0,0,5,0,0,9,0,3,0,8,0,18,0,0,0,0,0,0,0,19,128,0,0,34,0,12,236,296,1,0,297,0,38,38,335
L09410,5/31/2017,2017-5,151,Waxing,37,28.61111111,23.96953405,36.3983,-112.5356,139,LB,Middle Granite Gorge,1.7,83,67.1037037,137.5-Mile Rapid,0.26,0.66,SM,1,MorrisS,1,0,0,5,0,0,1,0,2,0,2,0,17,0,0,0,0,0,0,0,15,85,0,0,56,0,54,237,225.71,8.57,0,234.29,31.43,194.29,225.71,460
L09399,6/1/2017,2017-6,152,Waxing,11,27.22222222,30.66854991,36.2577,-112.9232,169,RB,Lower Canyon,11.5,107,72.3196347,Fern Glen Rapid,0.34,0.38,SM,0.97,MorrisS,1,0,0,1,0,0,2,0,0,0,3,0,9,0,0,0,0,0,0,0,18,198,0,0,15,0,12,258,75,28,0,103,3,65,68,171
L09436,6/8/2017,2017-6,159,Full,25,30.83333333,30.66854991,36.3125,-111.8646,52,RB,Lower Marble,0.5,145,92.56410256,Nankoweap Rapid,0.51,3.55,JT/SF,1,MossmanD,1,1,0,4,0,0,5,0,4,0,11,0,2,4,0,0,0,0,0,0,33,186,0,0,12,0,5,267,96.61,2820.34,0,2916.95,3.39,13.56,16.95,2933.9
L09632,6/8/2017,2017-6,159,Full,75,30.83333333,30.66854991,36.5936,-111.7724,24,LB,Redwall,22.67,71,74.31730769,23.5-Mile Rapid,0.09,0.25,NJ,1.5,JordanN,1,0,0,0,0,0,6,0,0,0,3,0,11,0,0,0,0,0,0,0,21,47,0,0,74,0,8,170,809,21,0,830,81,313,394,1224
L04891,6/9/2017,2017-6,160,Full,-1,31.38888889,30.66854991,36.8649,-111.5879,0,RB,Permian,0.9,117,109.1777778,Paria Riffle,0.93,1.26,JC,0.8,CatlettJ,1.13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,94,0,0,21,0,2,123,1,0,0,1,0,0,0,1
L09633,6/9/2017,2017-6,160,Full,64,31.38888889,30.66854991,36.3112,-111.8637,52,RB,Lower Marble,0.4,87,92.56410256,Nankoweap Rapid,0.41,3.55,NJ,1,JordanN,1,1,0,9,1,0,7,0,6,0,10,0,18,0,0,0,0,0,3,0,53,160,0,0,45,0,43,356,1630,1872,0,3502,14,94,108,3610
L09438,6/10/2017,2017-6,161,Full,26,30.83333333,30.66854991,36.1989,-112.3229,106,LB,Upper Granite Gorge,3.2,65,58.93838863,Serpentine Rapid,0.51,0.28,JT/SF,0.95,MossmanD,1,0,0,0,0,0,25,0,0,0,1,0,1,0,0,0,0,0,0,0,42,120,0,0,8,0,1,198,72.55,0,0,72.55,0.98,2.94,3.92,76.47
L04889,6/11/2017,2017-6,162,Full,3,30,30.66854991,36.4355,-111.8514,38,LB,Lower Marble,14.6,97,92.56410256,36-Mile Rapid,1.59,0.21,JC,0.85,CatlettJ,1.07,0,0,0,0,1,11,0,1,0,0,0,6,0,0,0,0,0,0,0,20,82,0,0,36,0,0,157,846.08,5.88,0,851.96,1.96,0.98,2.94,854.9
L04888,6/12/2017,2017-6,163,Full,7,27.77777778,30.66854991,36.2977,-111.8584,53,RB,Lower Marble,0.8,101,92.56410256,Nankoweap Rapid,0.79,1.85,JC,1.02,CatlettJ,1.07,0,0,1,0,0,7,0,0,0,4,0,13,0,0,0,0,0,0,0,54,140,0,0,11,0,5,235,292.04,69.03,0,361.06,12.39,97.35,109.73,470.8
L04887,6/13/2017,2017-6,164,Waning,13,28.05555556,30.66854991,36.0483,-111.9041,76,RB,Furnace Flats,8.5,94,87.03937008,Nevills Rapid,0.41,0.41,JC,1.22,CatlettJ,1.1,0,0,1,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,1,145,0,0,123,0,2,288,187.61,0.88,0,188.5,4.42,14.16,18.58,207.08
L09443,6/13/2017,2017-6,164,Waning,26,28.05555556,30.66854991,36.2084,-113.0553,178,LB,Lower Canyon,20.7,67,72.3196347,Lava Falls Rapid,1.71,0.93,JT/SF,0.9,MossmanD,1,0,0,0,0,1,16,0,0,0,0,0,18,0,0,0,0,1,0,0,15,84,0,0,58,0,2,195,1197,113,0,1310,16,17,33,1343
L04886,6/14/2017,2017-6,165,Waning,6,27.77777778,30.66854991,36.101,-112.0836,88,LB,Upper Granite Gorge,0.6,51,58.93838863,Bright Angel Rapid,0.46,1.06,JC,0.95,CatlettJ,1.22,0,0,0,0,0,7,0,1,0,0,0,10,0,0,0,0,0,0,0,69,106,0,0,25,0,0,218,26.17,41.12,0,67.29,1.87,6.54,8.41,75.7
L09442,6/14/2017,2017-6,165,Waning,26,27.77777778,30.66854991,36.0559,-113.3466,202,RB,Lower Canyon,2.7,79,72.3196347,205-Mile Rapid,3.63,1.25,JT/SF,1.07,MossmanD,1,1,0,0,0,1,47,0,0,0,0,0,2,0,0,0,0,0,0,0,28,138,0,0,33,0,0,250,2759.8,5.88,0,2765.69,14.71,5.88,20.59,2786.27
L04865,6/15/2017,2017-6,166,Waning,17,30.55555556,30.66854991,36.1165,-112.2301,97,LB,Upper Granite Gorge,0.1,57,58.93838863,Boucher Rapid,0.08,0.39,JC,0.97,CatlettJ,1.03,0,0,0,0,0,7,0,0,0,3,0,41,0,0,0,0,0,0,0,46,44,0,0,17,0,1,159,71.03,9.35,0,80.37,17.76,94.39,112.15,192.52
L09437,6/15/2017,2017-6,166,Waning,26,30.55555556,30.66854991,35.7657,-113.3748,226,LB,Grand Canyon West,0.1,82,82.24489796,Diamond Creek Rapid,0.05,0.55,JT/SF,1.17,MossmanD,1,0,0,3,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,7,117,0,0,93,0,3,230,1182,247,1,1430,54,48,102,1532
L09648,6/15/2017,2017-6,166,Waning,-32,30.55555556,30.66854991,36.7401,-111.6936,11,RB,Supai,10.4,83,66.50574713,Soap Creek Rapid,0.07,0.31,GCY,1.25,GCY,1.28,0,0,3,0,1,4,0,4,0,10,0,1,1,1,0,0,3,0,0,2,72,0,0,58,0,2,162,1132,0,0,1132,10,27,37,1169
L04864,6/16/2017,2017-6,167,Waning,12,31.66666667,30.66854991,36.2381,-112.4661,120,LB,Aisles,3.1,78,82.5,Blacktail Rapid,0.27,0.9,JC,0.98,CatlettJ,1.1,1,0,4,0,0,2,0,4,0,26,0,4,0,0,0,0,0,0,0,19,74,0,0,46,0,25,205,49,2,0,51,13,76,89,140
L09539,6/16/2017,2017-6,167,Waning,-62,31.66666667,30.66854991,36.5945,-111.7719,24,LB,Redwall,22.6,40,74.31730769,23.5-Mile Rapid,0.02,0.25,LC,0.68,ChamberlainL,1.17,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,16,0,0,28,0,2,52,74.07,87.96,0,162.04,0,9.26,9.26,171.3
L09649,6/16/2017,2017-6,167,Waning,-2,31.66666667,30.66854991,36.6304,-111.7634,21,RB,Supai,19.8,75,66.50574713,North Canyon Rapid,0.02,0.18,GCY,1.03,GCY,1,0,0,1,0,0,4,0,2,0,3,0,7,1,0,0,0,0,0,0,1,52,0,0,49,0,3,123,310,627,0,937,8,44,52,989
L04863,6/17/2017,2017-6,168,Waning,12,33.05555556,30.66854991,36.3403,-112.4547,132,RB,Middle Granite Gorge,0.4,71,67.1037037,Deubendorff Rapid,0.26,0.44,JC,1.02,CatlettJ,1.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,106.19,0,0,106.19,17.53,17.53,35.05,141.24
L09538,6/17/2017,2017-6,168,Waning,-46,33.05555556,30.66854991,36.424,-111.8714,40,RB,Lower Marble,13,78,92.56410256,36-Mile Rapid,3.19,0.54,GCY,0.85,ChamberlainL,1.07,0,0,0,0,0,5,0,0,0,0,0,19,4,0,0,0,0,0,0,6,29,0,0,36,0,0,99,341.9,92.38,0,434.29,0.95,60,60.95,495.24
L09650,6/17/2017,2017-6,168,Waning,-1,33.05555556,30.66854991,36.424,-111.8714,40,RB,Lower Marble,13,78,92.56410256,36-Mile Rapid,3.19,0.54,GCY,0.85,GCY,1,0,0,0,0,0,5,0,0,0,0,0,19,4,0,0,0,0,0,0,6,29,0,0,36,0,0,99,108.74,10.68,0,119.42,0.97,9.71,10.68,130.1
L09537,6/18/2017,2017-6,169,Waning,-32,35,30.66854991,36.3664,-111.8874,48,RB,Lower Marble,4.9,163,92.56410256,President Harding,3.62,2.52,LC,1.07,ChamberlainL,1.3,1,0,2,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,39,0,0,23,0,1,74,474.74,767.37,5.26,1247.37,1.05,21.05,22.11,1269.47
L04862,6/19/2017,2017-6,170,Waning,-3,36.66666667,30.66854991,36.2791,-112.8748,165,RB,Lower Canyon,7.8,59,72.3196347,164-Mile Rapid,0.15,0.12,JC,1.37,CatlettJ,1.1,0,0,3,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,6,81,0,0,56,0,9,166,293.2,107.77,0.97,401.94,15.53,115.53,131.07,533.01
L09652,6/19/2017,2017-6,170,Waning,-7,36.66666667,30.66854991,36.2274,-111.8175,59,,Lower Marble,2.7,62,92.56410256,60-Mile Rapid,1,1,GCY,0.95,GCY,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,26,0,0,69,367.27,11.82,0.91,380,9.09,50,59.09,439.09
L04894,6/20/2017,2017-6,171,Waning,19,36.94444444,30.66854991,36.1192,-113.2014,190,RB,Lower Canyon,14.4,63,72.3196347,Whitmore Rapid,2.05,0.64,JC,1.32,CatlettJ,1.13,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,10,72,0,0,70,0,1,159,4,1,0,5,4,4,8,13
L09653,6/20/2017,2017-6,171,Waning,0,36.94444444,30.66854991,36.1522,-111.8152,65,RB,Furnace Flats,3.2,113,87.03937008,Lava Canyon Rapid,0.95,0.87,GCY,1.02,GCY,1.03,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,12,28,0,0,17,0,0,65,551,129,1,681,16,44,60,741
L04880,6/21/2017,2017-6,172,New,28,35.83333333,30.66854991,35.7865,-113.3439,224,LB,Lower Granite Gorge,2.2,85,78.12676056,224-Mile Rapid,0.22,0.27,JC,1.25,CatlettJ,1.07,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,2,78,0,0,33,0,0,119,188.79,543.93,0,732.71,12.15,12.15,24.3,757.01
L09534,6/21/2017,2017-6,172,New,15,35.83333333,30.66854991,36.1151,-112.2299,97,LB,Upper Granite Gorge,0,55,58.93838863,Boucher Rapid,0.02,0.39,LC,0.57,ChamberlainL,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,16,71.3,0.93,0,72.22,4.63,26.85,31.48,103.7
L09654,6/21/2017,2017-6,172,New,14,35.83333333,30.66854991,36.0828,-112.0396,85,LB,Upper Granite Gorge,0.2,75,58.93838863,Zoroaster Rapid,0.35,0.41,GCY,0.93,GCY,1.1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,42,0,0,11,0,0,63,733.33,68.57,0,801.9,20.95,219.05,240,1041.9
L09707,6/21/2017,2017-6,172,New,33,35.83333333,30.66854991,36.8431,-111.5539,-3,RB,Glen Canyon,3.9,117,117,Paria Riffle,3.93,1.53,NJ,1.5,JordanN,1,0,0,4,0,0,2,0,0,0,0,0,8,4,0,0,0,0,0,0,13,81,0,0,13,0,0,125,751,49,6,806,33,255,288,1094
L09655,6/22/2017,2017-6,173,New,21,36.38888889,30.66854991,36.1178,-112.2309,97,LB,Upper Granite Gorge,0.2,57,58.93838863,Boucher Rapid,0.18,0.39,GCY,0.93,GCY,1,1,0,1,0,1,3,0,1,0,0,0,8,0,0,0,0,0,0,0,12,42,0,0,19,0,0,88,435,293,0,728,2,9,11,739
L09708,6/22/2017,2017-6,173,New,55,36.38888889,30.66854991,36.8431,-111.5539,-3,RB,Glen Canyon,3.9,117,117,Paria Riffle,3.93,1.53,NJ,1.07,JordanN,1,0,0,0,0,0,1,0,0,0,1,0,26,9,0,0,0,0,0,0,21,60,0,0,41,0,1,160,43,14,0,57,2,24,26,83
L09691,6/23/2017,2017-6,174,New,42,35.27777778,30.66854991,36.7401,-111.6936,11,RB,Supai,10.4,83,66.50574713,Soap Creek Rapid,0.07,0.31,EB,0.98,ByerleyE,1,0,0,2,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,2,124,0,0,91,0,2,227,239.8,3.06,0,242.86,6.12,37.76,43.88,286.73
L09531,6/24/2017,2017-6,175,New,-27,35.83333333,30.66854991,36.3737,-112.65,146,LB,Muav Gorge,1.8,59,51.76041667,144.5-Mile Rapid,0.47,0.26,LC,0.88,ChamberlainL,1.25,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,0,51,0,1,142,646.08,625.49,0,1271.57,0.98,16.67,17.65,1289.22
L09657,6/24/2017,2017-6,175,New,22,35.83333333,30.66854991,36.2434,-112.5075,123,RB,Aisles,5.5,49,82.5,122-Mile Rapid,0.47,0.54,GCY,0.97,GCY,1.05,0,0,6,0,0,2,0,3,0,4,0,1,0,0,0,0,0,0,0,2,30,0,0,32,0,13,93,10.68,20.39,0,31.07,0.97,19.42,20.39,51.46
L09692,6/26/2017,2017-6,177,New,10,33.88888889,30.66854991,36.8649,-111.5879,0,RB,Permian,0.9,117,109.1777778,Paria Riffle,0.93,1.26,JC,1.12,CatlettJ,1.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,102,116,0,0,1,0,0,221,63.73,7.84,0,71.57,15.69,24.51,40.2,111.76
L09660,6/27/2017,2017-6,178,New,19,34.44444444,30.66854991,36.17,-113.1267,183,RB,Lower Canyon,21.7,104,72.3196347,185-Mile Rapid,2.63,1.32,GCY,0.9,GCY,1,0,0,0,0,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,26,145,0,0,24,0,0,231,1,18,0,19,6,34,40,59
L09687,6/27/2017,2017-6,178,New,12,34.44444444,30.66854991,36.101,-112.0836,88,LB,Upper Granite Gorge,0.6,51,58.93838863,Bright Angel Rapid,0.46,1.06,EB,0.88,ByerleyE,1.07,0,0,0,0,1,22,0,0,0,0,0,8,1,0,4,0,0,0,0,70,91,0,0,24,0,0,221,820.91,0.91,0,821.82,11.82,139.09,150.91,972.73
L09693,6/27/2017,2017-6,178,New,62,34.44444444,30.66854991,36.6811,-111.7395,17,LB,Supai,15.7,55,66.50574713,House Rock Rapid,0.48,0.12,JC,0.95,CatlettJ,0.98,1,0,0,0,0,5,0,1,0,0,0,26,1,1,0,0,0,0,0,34,98,0,0,22,0,1,190,381.55,1224.27,0,1605.83,6.8,11.65,18.45,1624.27
L09695,6/29/2017,2017-6,180,Waxing,10,33.33333333,30.66854991,36.4283,-111.8709,39,,Lower Marble,13.3,70,92.56410256,36-Mile Rapid,2.89,0.2,JC,0.95,CatlettJ,1.02,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,19,49,0,0,10,0,0,85,333.67,209.18,1.02,543.88,13.27,37.76,51.02,594.9
L09555,6/30/2017,2017-6,181,Waxing,4,33.33333333,30.66854991,36.7015,-111.7116,14,LB,Supai,13.5,41,66.50574713,Sheer Wall Rapid,0.12,0.02,SM,1,MorrisS,1.03,0,0,0,0,1,23,0,0,0,0,0,12,0,0,0,0,0,0,0,24,149,0,0,22,0,0,231,29.52,4.76,0,34.29,0.95,20,20.95,55.24
L09696,6/30/2017,2017-6,181,Waxing,16,33.33333333,30.66854991,36.2952,-111.8578,54,RB,Lower Marble,1,104,92.56410256,Nankoweap Rapid,0.99,2.51,JC,1,CatlettJ,1.03,0,0,1,0,1,12,0,1,0,9,0,10,1,0,0,0,1,0,0,49,133,0,0,25,0,0,243,168,8,0,176,8,35,43,219
L09554,7/1/2017,2017-7,182,Waxing,16,33.61111111,30.50361337,36.5019,-111.8575,32,RB,Redwall,20.6,95,74.31730769,29-Mile Rapid,2.52,0.18,SM,0.83,MorrisS,0.9,0,0,0,0,0,6,0,0,0,2,0,15,0,0,0,0,1,0,0,18,53,0,0,27,0,3,125,193.48,43.48,2.17,239.13,28.26,17.39,45.65,284.78
L09686,7/1/2017,2017-7,182,Waxing,24,33.61111111,30.50361337,36.3737,-112.65,146,LB,Muav Gorge,1.8,59,51.76041667,144.5-Mile Rapid,0.47,0.26,EB,1.1,ByerleyE,1.08,2,0,4,0,3,8,0,0,0,0,0,9,2,0,0,0,0,0,0,12,167,0,0,25,0,1,233,2386,13,0,2399,27,106,133,2532
L09697,7/1/2017,2017-7,182,Waxing,12,33.61111111,30.50361337,36.1409,-111.8162,66,RB,Furnace Flats,4,121,87.03937008,Lava Canyon Rapid,0.15,1.26,JC,0.77,CatlettJ,0.98,1,0,2,0,1,0,0,0,0,0,0,10,0,0,3,0,1,0,0,2,52,0,0,17,0,0,89,136.19,21.9,0,158.1,0,23.81,23.81,181.9
L09803,7/1/2017,2017-7,182,Waxing,9,33.61111111,30.50361337,36.7401,-111.6936,11,RB,Supai,10.4,83,66.50574713,Soap Creek Rapid,0.07,0.31,carp,0.73,PrivateBoater,1,1,0,4,1,1,3,0,2,0,9,0,9,0,6,0,0,0,0,0,3,68,0,0,41,0,4,152,2137,109,0,2246,20,119,139,2385
L09553,7/2/2017,2017-7,183,Waxing,31,34.72222222,30.50361337,36.3677,-111.8882,48,RB,Lower Marble,5,57,92.56410256,President Harding,3.52,2.52,SM,1.1,MorrisS,1.15,0,0,0,0,0,1,0,0,0,0,0,8,4,0,0,0,0,1,0,46,111,0,0,20,0,0,191,4.3,4.3,0,8.6,10.75,2.15,12.9,21.51
L09698,7/2/2017,2017-7,183,Waxing,3,34.72222222,30.50361337,36.0979,-112.181,94,LB,Upper Granite Gorge,1.7,73,58.93838863,Granite Rapid,0.08,0.54,JC,0.87,CatlettJ,1,0,0,4,0,0,1,0,1,0,7,0,6,2,0,0,0,0,0,0,10,83,0,0,10,0,1,125,448.6,36.45,0,485.05,3.74,72.9,76.64,561.68
